Date,Customer ID,Product Category,Product Name,Product Price,Page Visits,Number of Conversions,Quantity,Discount,Sales
2020-10-11,1547,Headphones,Religious bad sea future.,1837,4,0,5,0.08751751214139969,8381.151650981245
2020-11-24,1344,Headphones,Civil appear want rate level soon few.,1858,9,1,2,3.241618602938256e-05,3715.879541452715
2021-12-08,1044,Desktops,Yes magazine grow own exist world.,1212,3,1,1,0.22361356177165279,940.9803631327568
2021-06-10,1974,Desktops,Most place popular fly.,181,2,1,4,0.22071898616369204,564.199454017487
2021-03-16,4155,Desktops,While partner law model.,1236,10,0,4,0.2020161040079696,3945.2323817845986
2021-07-13,2274,Laptops,Catch radio letter structure.,1648,3,1,1,0.01893464266435001,1616.7957088891512
2023-09-27,859,Speakers,Reason deep nor agree effort across.,253,9,0,3,0.10953364559172896,675.8639629958777
2022-05-16,2726,Speakers,Scene environmental even consumer.,623,2,1,4,0.26756510115569093,1825.227767920018
2021-02-02,4067,Desktops,At business action everyone.,706,10,0,1,0.19835537487364477,565.9611053392068
2023-09-07,1008,Smartphones,Skill listen admit.,1413,4,0,2,0.01822589869055583,2774.4936103004893
2020-09-14,279,Smartphones,Skill by less pull model.,1280,5,1,3,0.02437954529654782,3746.382546061256
2020-09-18,2540,Desktops,International wait method available.,836,8,0,2,0.2618869366325599,1234.12504195036
2021-11-22,1497,Headphones,Group blood mouth raise never animal.,395,10,0,4,0.0937739622138152,1431.837139702172
2022-09-24,4831,Laptops,Us that serious quality hear right.,1113,7,0,3,0.10958457264718176,2973.0971119310598
2021-04-21,1546,Speakers,Ask generation down serve.,419,1,1,3,0.03707189726259088,1210.4006251409232
2021-03-19,2473,Headphones,Stage which focus culture within although shake.,534,3,0,1,0.27705407423087447,386.053124360713
2022-12-03,801,Tablets,Leg know expect follow floor.,1465,1,1,1,0.06148134561816578,1374.9298286693872
2021-10-01,1068,Headphones,Something impact but test.,315,4,1,1,0.08740543739014084,287.46728722210565
2022-06-23,801,Desktops,Put third personal cover.,1817,8,1,4,0.15687633632928477,6127.822787558758
2020-01-16,972,Laptops,Laugh go individual.,1778,1,0,2,0.20516227756092129,2826.4429409933637
2020-02-08,275,Tablets,Tv should total school far.,469,1,1,5,0.1790693378504507,1925.0824027406932
2021-02-12,4814,Speakers,Kind reality interview piece window suddenly.,1572,10,1,5,0.040387958924275845,7542.550642855192
2020-12-11,1654,Headphones,Recent lead nation into despite care.,373,6,1,1,0.2807400781923195,268.28395083426483
2021-04-29,4017,Desktops,Accept finally staff listen sea technology.,1140,9,1,3,0.08413332090583388,3132.264042502048
2023-04-29,4775,Headphones,Suddenly son spring teach well believe where.,1058,3,0,1,0.05951311877775825,995.0351203331318
2022-08-28,3584,Headphones,Difficult side tonight say season story fund.,465,9,1,4,0.19459623393873077,1498.0510048739607
2021-09-10,4722,Headphones,Mean front suggest before.,1370,3,1,1,0.0004906728042767039,1369.3277782581408
2023-02-14,2884,Speakers,Great million which can than sister simply.,1674,5,1,2,0.2684063981709738,2449.37537892358
2023-07-11,1261,Tablets,Mind where upon down.,758,10,0,2,0.2784490860104528,1093.8711856081536
2022-03-12,3921,Tablets,Fine forward officer hold political.,969,6,1,2,0.02610531088930119,1887.407907496534
2021-04-21,1809,Tablets,Owner land particularly.,1305,4,0,4,0.11193873529759762,4635.679801746541
2021-10-11,585,Tablets,Western single movie design third good able.,1645,9,0,3,0.11401448582326518,4372.338512462186
2022-06-03,2464,Desktops,Guess sound goal lay over its evidence word.,1632,6,0,5,0.021386097017432135,7985.489448337754
2023-06-15,2371,Smartphones,These involve dream follow police they TV.,1681,3,0,3,0.012679097679967376,4979.0593103999245
2020-02-18,2005,Laptops,Partner official either next.,515,2,1,1,0.22408610267773285,399.5956571209676
2020-12-02,165,Speakers,Represent age particular rate.,690,7,0,4,0.2530476271393915,2061.588549095279
2022-12-28,234,Laptops,Maybe its professional learn Mrs think.,333,9,1,2,0.15745395336843024,561.1356670566255
2023-04-07,1259,Speakers,Two point author society material fall.,1921,5,1,1,0.2149611830852314,1508.0595672932704
2021-09-05,3627,Tablets,Scientist lay guy executive behind as.,1864,7,1,4,0.29187880982406367,5279.751593951782
2023-03-21,2881,Headphones,Popular study deep way who.,1645,7,0,4,0.20961908414244312,5200.706426342725
2022-12-12,1013,Smartphones,Identify consumer movie research sea when water.,325,5,0,2,0.16189526642300625,544.7680768250459
2020-08-17,2599,Speakers,Chair on southern enjoy stock environmental.,1177,7,1,3,0.20966320117158976,2790.6792366631166
2021-12-02,957,Smartphones,Financial leg camera house describe tend.,1314,9,0,1,0.10172095889405915,1180.3386600132062
2022-08-22,4138,Laptops,Education population smile.,1190,3,0,5,0.07065024724800528,5529.631028874369
2022-06-05,217,Desktops,Activity affect event.,1435,1,1,4,0.18436000068786382,4681.773596051661
2020-05-05,4354,Desktops,Involve down entire oil.,140,2,1,2,0.07154369786377902,259.96776459814186
2022-11-28,2160,Smartphones,Social six avoid probably finally.,1431,4,0,4,0.03542320093195349,5521.237597865498
2022-05-31,4273,Laptops,Even two affect employee brother service.,397,3,0,3,0.1663368566081125,992.8928037797381
2020-11-10,1543,Smartphones,Term mean kitchen idea teacher.,1633,6,1,5,0.22238586541436078,6349.219408891744
2021-08-10,2496,Headphones,He table little best sit forget.,1846,10,0,1,0.2093830453093208,1459.4788983589938
2023-11-17,4039,Smartphones,Somebody let not write company.,687,1,0,1,0.15356148130966962,581.5032623402569
2020-03-31,492,Speakers,Picture lead respond necessary conference.,967,1,0,1,0.04456128449461306,923.9092378937091
2023-07-18,3471,Headphones,Per where spring second student.,320,1,0,1,0.29733630806940986,224.85238141778888
2020-02-03,3295,Speakers,Develop city once page onto build.,1766,2,1,1,0.24040471617717657,1341.4452712311063
2020-07-13,2862,Laptops,Experience option last green.,1034,9,1,2,0.21159736910897417,1630.4166406826414
2023-02-23,597,Desktops,Foot low street usually child two buy.,1018,5,1,5,0.15540056309961103,4299.01113382298
2022-06-13,1559,Speakers,Alone particularly wrong.,213,8,0,1,0.041308163365907535,204.20136120306168
2023-06-04,77,Speakers,Himself including share stock keep despite.,1896,8,1,4,0.16032378768855848,6368.104394169973
2020-04-28,1386,Laptops,Ground pattern key often.,1926,6,1,4,0.09023418511342769,7008.835837886153
2022-09-28,315,Speakers,Bag modern wonder during rule example image.,1832,9,1,4,0.21004391663860086,5788.798178872333
2022-03-20,3684,Laptops,Treatment lay drive soon how save.,1710,9,1,4,0.19384066921160317,5514.129822592635
2022-06-27,1403,Speakers,Still safe account feel.,1417,9,1,4,0.056263850754168364,5349.096493925374
2021-07-07,2708,Speakers,These reduce certainly why thought control.,1312,6,1,4,0.014819298454795703,5170.228321709233
2022-06-04,3047,Smartphones,Six career near under Mrs.,1737,8,1,5,0.16093222524962977,7287.3036237069655
2021-09-03,3124,Speakers,Word plan some. Town free huge yet.,1097,5,1,5,0.14618772310997036,4683.160338741813
2020-05-06,920,Speakers,Financial tonight six view animal.,922,10,0,4,0.13800777249021104,3179.027335056102
2023-02-10,308,Laptops,Let eat strategy I pull process artist.,256,2,0,4,0.17151561135199325,848.3680139755589
2020-07-05,2363,Headphones,Story himself simply nothing carry.,834,6,1,5,0.2742955928862878,3026.18737766418
2023-01-01,2290,Headphones,Bring drug story perhaps begin stand sister.,1968,5,0,3,0.19376165367034034,4760.0311967303105
2022-02-20,1887,Smartphones,Job action than score.,1613,2,0,1,0.12854644052147346,1405.6545914388632
